Account_Name,Type,Environment,Session_Count_30d,Unique_Users_30d,Last_Accessed,Days_Since_Last_Access,Usage_Status
prod_db_admin,Database,Production,0,0,NULL,NULL,"Never Used"
prod_root_web01,Root,Production,0,0,NULL,NULL,"Never Used"
prod_admin_erp,Admin,Production,0,0,NULL,NULL,"Never Used"
prod_sa_sqlserver,Database,Production,0,0,NULL,NULL,"Never Used"
prod_root_app01,Root,Production,0,0,NULL,NULL,"Never Used"
svc_payment_api,Service,Production,0,0,NULL,NULL,"Never Used"
svc_backup_prod,Service,Production,0,0,NULL,NULL,"Never Used"
svc_monitoring,Service,Production,0,0,NULL,NULL,"Never Used"
stg_db_admin,Database,Staging,0,0,NULL,NULL,"Never Used"
stg_root_web01,Root,Staging,0,0,NULL,NULL,"Never Used"
stg_admin_erp,Admin,Staging,0,0,NULL,NULL,"Never Used"
stg_sa_sqlserver,Database,Staging,0,0,NULL,NULL,"Never Used"
dev_db_admin,Database,Development,0,0,NULL,NULL,"Never Used"
dev_root_app01,Root,Development,0,0,NULL,NULL,"Never Used"
dev_admin_test,Admin,Development,0,0,NULL,NULL,"Never Used"
qa_db_admin,Database,QA,0,0,NULL,NULL,"Never Used"
qa_root_web01,Root,QA,0,0,NULL,NULL,"Never Used"
qa_admin_app,Admin,QA,0,0,NULL,NULL,"Never Used"
prod_db_admin_fin,Database,Production,0,0,NULL,NULL,"Never Used"
prod_root_fin01,Root,Production,0,0,NULL,NULL,"Never Used"
prod_admin_hr,Admin,Production,0,0,NULL,NULL,"Never Used"
svc_etl_prod,Service,Production,0,0,NULL,NULL,"Never Used"
svc_email_prod,Service,Production,0,0,NULL,NULL,"Never Used"
app_admin_portal,Application,Production,0,0,NULL,NULL,"Never Used"
app_admin_cms,Application,Production,0,0,NULL,NULL,"Never Used"
app_root_api,Application,Production,0,0,NULL,NULL,"Never Used"
net_admin_core,Admin,Production,0,0,NULL,NULL,"Never Used"
net_admin_firewall,Admin,Production,0,0,NULL,NULL,"Never Used"
cloud_admin_aws,Admin,Production,0,0,NULL,NULL,"Never Used"
cloud_admin_azure,Admin,Production,0,0,NULL,NULL,"Never Used"
